Via Romae – Questgruppierung und Implementierung v0.9,,,,,,,,,,,,,,,,,,,,,
40 Questdefinitionen mit 396 Ablauf-Schritten; EnemyBalance und Stores sind verbindliche Balancing-/Datenverträge für GDD v0.16 und GeoJSON v0.9.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Regulär,Tag 1,Tag 2,Medien,Hidden,Bosse,Ein-Ort,Mehrort,Ø Eignung,Rote Pflichtorte,Unique Gegner,Unique Tag 1,Unique Tag 2,Questdefs,Ablaufschritte,Dialogknoten,Charaktere,Rätsel,Kampfprofile,Navigation,Timerquests,Checks OK
26,16,10,7,5,2,6,20,"4,3",0,12,8,4,40,396,120,36,112,35,4,6,16
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Hauptmechanik,Reguläre Quests,Empfohlener Korridor,Bewertung,Kommentar,,,,,,,,,,,,,,,,,
BEOBACHTUNG_SUCHE,4,4–6,AUSGEWOGEN,GPS-Ort und lokale Beobachtung bleiben in jeder Quest Basiselemente.,,,,,,,,,,,,,,,,,
ZUORDNUNG_REIHENFOLGE,6,4–6,AUSGEWOGEN,GPS-Ort und lokale Beobachtung bleiben in jeder Quest Basiselemente.,,,,,,,,,,,,,,,,,
KURZTEXT_RAETSEL,4,4–6,AUSGEWOGEN,GPS-Ort und lokale Beobachtung bleiben in jeder Quest Basiselemente.,,,,,,,,,,,,,,,,,
DIALOG_ENTSCHEIDUNG,6,4–6,AUSGEWOGEN,GPS-Ort und lokale Beobachtung bleiben in jeder Quest Basiselemente.,,,,,,,,,,,,,,,,,
KAMPF,6,4–6,AUSGEWOGEN,GPS-Ort und lokale Beobachtung bleiben in jeder Quest Basiselemente.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Wichtigste Entscheidung,Begründung,,,,,,,,,,,,,,,,,,,,
"Die Kombinationen sind Quest-Card-reif, aber noch nicht eventfreigegeben. Aktueller Sichtbeleg, blinder Antworttest und Event-Recheck bleiben Pflicht.",,,,,,,,,,,,,,,,,,,,,
"Nicht als Pflichtort verwendet: Obelisco della Minerva, Portico d’Ottavia, Piazza del Teatro di Pompeo, Meta Sudans und Arco di Via Nola.",,,,,,,,,,,,,,,,,,,,,
"Operativ schwächste Kernkombinationen: Tore des Borgo, Das gebändigte Wasser, Stimmen der Republik und Tore der Aurelianischen Mauer. Sie benötigen die stärksten Fallbacks.",,,,,,,,,,,,,,,,,,,,,
